left context,original word,right context,Match Type,word correction,hun correction,Abkürzung,Eigenname,URL/Email,Englisch,Österreichisch
Als,RK,Freiwilliger,2,RK,KRK,1,,,,
frei,uswusf,damals,5,Usus,Auswurf,1,,,,
menschenverachtendes,Sytem,der,1,System,System,,,,,
Kommunismus,bzw,der,1,bzw.,bzw.,1,,,,
linke,Ideen/Ideologie,immun,2,Ideen/Ideologie,Ideen-Ideologie,,,,,
I,want,to,2,want,wand,,,,1,
want,to,break,2,to,tot,,,,1,
to,break,free,2,break,Break,,,,1,
break,free,zu,2,free,freie,,,,1,
ein,schürzenjäger,und,1,Schürzenjäger,Schürzenjäger,,,,,
und,nacht,für,1,Nacht,Nacht,,,,,
die,nachrichten,hab,1,Nachrichten,Nachrichten,,,,,
gehofft,europa,werde,1,Europa,Europa,,,,,
wäre,sooo,kompliziert,4,solo,solo,,,,,
11/12,witzigerweis,der,3,witzig erweis,witzigerweise,,,,,
der,mauerfall,in,3,mauerfall,Mauerfall,,,,,
in,berlin,kaum,3,berlin,Berlin,,,,,
aber,rumänien,und,1,Rumänien,Rumänien,,,,,
der,sturz,vom,1,Sturz,Sturz,,,,,
vom,ceausescu,sind,2,Ceausescu,schmause,,1,,,
im,gedächtnis,geblieben,1,Gedächtnis,Gedächtnis,,,,,
noch,erinnerungen,von,1,Erinnerungen,Erinnerungen,,,,,
den,geschehnissen,in,1,Geschehnissen,Geschehnissen,,,,,
in,polen,in,3,polen,Polen,,,,,
den,jahren,davor,1,Jahren,Jahren,,,,,
die,ddr,seh,1,DDR,DDR,,,,,
ddr,seh,ich,5,sehr,eh,,,,,
geistigen,auge,polster,1,Auge,Auge,,,,,
auge,polster,wie,2,Polster,polster,,,,,
die,bande,springt,1,Bande,Bande,,,,,
das,publikum,beschimpft,1,Publikum,Publikum,,,,,
diesem,jahr,dabei,1,Jahr,Jahr,,,,,
rumänien,'echter',-,2,'echter',Fechter,,,,,
ein,bischen,vielleicht,1,bisschen,bisschen,,,,,
im,nachhinein,im,3,nachhinein,Nachhinein,,,,,
Nichts,aussergewöhnliches,nur,1,außergewöhnliches,außergewöhnliches,,,,,
verwaist,ect,Und,5,etc.,et,,,,,
die,FP,-,2,FP,FTP,1,,,,
die,ZiB,und,5,Ziba,GiB,,,,,
Sätze,rausgebracht,hat,2,rausgebracht,ausgebracht,,,,,
hat,Ick,kann,5,Ick,Eck,,,,,
kann,det,nich,5,dem,der,,,,,
det,nich,glooben,5,nach,mich,,,,,
nich,glooben,Ick,5,Globen,Globen,,,,,
det,eenfach,nich,1,einfach,einfach,,,,,
ist,osten,Im,1,osten,Osten,,,,,
die,Trabikolonnen,auf,2,Trabi Kolonnen,Kolonnenarbeit,,,,,
und,Innkreisautobahn,von,2,Innkreisautobahn,Kinnkreisautobahn,,,,,
meine,Grossfamilie,ganz,1,Großfamilie,Großfamilie,,,,,
an,foren@derstandard,at,2,foren@derstandard,Referendarsforen,,,1,,
foren@derstandard,at,http,2,at,AT,,,1,,
http,//derstandard,at/2929103/Frequently-Asked-Questions-zum-Forum,0,der Standard,Rassestandard,,,1,,
//derstandard,at/2929103/Frequently-Asked-Questions-zum-Forum,id=2929103&_artikelIndex=15,0,atz,ultrahochfrequent-Asked-Questions-zum-Forum,,,1,,
id=2929103&_artikelIndex=15,ps,warum,0,PS,PS,,,1,,
meinem,Nerdrausch,vor,5,Erdrauch,Nordrausch,,,,,
simplen,Bananensplit,hinlegen,2,Bananensplit,Bananensplint,,,,,
erste,Hard,Rock,2,Hard,Hardy,,,,1,
